,C_1,C_2,T_6_1,T_6_2,T_24_1,T_24_2,T_72_1,T_72_2
Gm43605,0,0,0,0,0,0,0,0
Gm6366,2,2,0,0,2,0,0,0
Gm16162,0,0,0,0,0,0,0,0
Gm14609,0,0,0,0,0,0,0,0
Slfn4,2,0,0,0,0,0,0,0
Gm47702,0,0,0,0,0,0,0,0
Gm49049,0,0,0,0,0,0,0,0
Rars2,879,608,611,595,706,692,621,620
Cxcr2,0,0,0,0,0,0,0,0
Gm37711,0,0,0,0,2,0,0,0
Gm25976,0,0,0,0,0,0,0,0
Zbtb41,2579,1788,1889,1996,1970,1946,1678,1320
Gm49598,0,0,0,0,0,0,0,0
Gm25179,0,0,0,0,0,0,0,0
4930505G20Rik,0,0,0,0,0,0,0,0
Gm44737,0,0,0,0,2,0,0,0
Gipc1,4011,2708,2762,2907,2797,2705,1761,1817
Rfc1,2928,2035,1886,1880,1965,2106,1579,1438
Copz2,5885,4015,3672,4053,4117,4240,4099,4428
Ctu2,483,340,427,400,406,331,202,248
Gm48708,0,0,0,0,0,0,0,0
Gm46190,0,0,0,0,0,2,0,0
Methig1,0,0,0,0,0,0,0,0
Dnttip1,542,344,376,324,378,373,350,350
Gm45631,0,0,0,6,0,2,2,2
Gm5947,0,0,0,0,0,0,0,0
Gm29018,0,0,0,0,0,0,0,0
Coq7,585,411,404,491,392,395,204,251
Sh2d7,0,0,0,0,0,0,0,0
Gm48531,0,0,0,0,0,0,0,0
Gm10052,2377,1915,1599,1678,2359,2215,729,723
Gm22847,0,0,0,0,0,0,0,0
Peli2,2425,1593,2081,2006,1414,1349,1410,1192
Gm48877,0,0,0,0,0,0,0,0
Tas2r130,0,0,0,0,0,0,0,0
Kcnq1ot1,50,42,47,32,26,66,69,79
Gm42556,0,0,0,0,0,0,0,0
Adcy3,2595,1838,1556,1604,1946,2029,1943,1863
Gm49432,0,0,0,0,0,0,0,0
Gm4866,2,0,2,0,0,2,4,0
Gm37055,0,0,0,0,0,0,0,0
Gm12001,0,0,0,0,0,0,0,0
Pgpep1,1848,1369,1094,1056,1414,1490,1922,1880
Gm7529,0,0,0,0,0,0,0,0
Gm9066,0,0,0,0,0,0,0,0
Gm12274,0,0,0,0,0,0,0,0
Rbmx2-ps,4,2,2,9,5,2,0,5
Mef2b,2,0,2,0,0,0,10,2
Gm49380,2,0,8,3,2,2,3,0
Gm31706,0,0,0,0,0,0,0,0
Taok1,6513,4462,4217,4288,4797,5336,4474,3983
Vmn1r91,0,0,0,0,0,0,0,0
Vsir,906,694,500,452,550,525,1034,977
B230362B09Rik,0,0,0,0,0,0,0,0
Gm14339,0,0,0,0,0,0,0,0
Gm10550,2,2,0,0,1,0,0,0
Gm12239,0,0,0,0,0,0,2,0
Mcc,566,386,412,353,575,579,716,874
Gm22053,0,0,0,0,0,0,0,0
Gm43380,0,0,0,0,0,0,0,0
Gm29674,8,10,0,2,8,10,4,8
Gm19082,0,0,0,0,0,0,0,0
mt-Tn,5,7,5,1,2,3,8,7
Gm17091,0,0,0,0,0,0,0,0
Dars,5381,3730,4018,4485,3765,3791,3231,3149
Ear-ps1,0,0,0,0,0,0,0,0
Gm7904,0,0,0,0,0,0,1,0
Rpl24,30,31,21,24,15,25,20,26
Olfr1506,0,0,0,0,0,0,0,0
Gm12031,6,2,0,3,0,2,6,2
Olfr1315-ps1,0,0,0,0,2,2,2,0
Ccdc162,32,25,16,12,15,27,22,28
Esp18,0,0,0,0,0,0,0,0
Xrra1,14,8,20,8,15,12,21,30
Gm8973,0,0,0,3,0,0,0,0
Rbl2,1592,1018,930,980,1325,1213,1533,1571
Gm28313,0,0,0,0,0,0,0,0
Gm25520,0,0,2,0,0,0,0,0
Gm44554,0,0,0,0,0,0,0,0
Cacybp,3931,2613,2563,2741,2730,2933,1874,1736
Rab25,0,0,0,0,0,1,0,9
Snora9,0,0,0,0,0,0,0,0
Gm48158,0,0,0,0,0,0,0,0
Trbv24,0,0,0,0,0,0,0,0
Gm13617,0,0,0,0,0,0,0,0
Gm5970,4,0,0,0,0,0,10,14
Gm13391,2,0,0,0,0,0,0,0
Gm10362,152,87,112,123,98,130,111,116
Tet3,2041,1447,1150,1001,1657,1801,1274,1171
Gm4454,0,0,0,0,0,0,0,0
Gm8107,0,0,0,0,0,0,0,0
Gm48600,0,0,0,0,0,0,0,6
Gm47850,2,0,0,0,2,0,0,2
Spry2,945,688,879,846,682,697,723,854
Gm45500,0,0,0,0,0,0,0,0
Coq8a,143,112,82,102,144,116,441,464
Apoc4,0,0,0,0,0,0,0,0
Srsf9,2912,1927,1799,1846,2165,2214,1542,1657
Trav6-5,0,0,0,0,0,0,0,0
Gm17096,2,6,0,2,11,3,29,8
Clic3,4,0,0,2,9,4,0,8
Gm12055,0,0,0,0,0,0,0,0
C530043K16Rik,0,0,0,0,0,0,2,2
Gm3375,170,147,106,107,137,127,51,67
Tbc1d22bos,0,0,0,0,0,0,0,2
Gm49700,26,35,15,22,18,30,24,25
Fam78a,6,6,4,4,20,2,2,2
Gm17124,0,0,0,0,0,0,0,0
Gm32511,0,0,0,0,0,0,0,0
0610043K17Rik,2,0,0,0,0,0,2,4
Gm2965,4,6,5,2,5,3,2,5
Kctd17,6348,4850,5026,4898,5287,5051,4140,4240
Osbpl5,5178,3505,3530,3411,3674,3555,3254,3658
Gm5750,0,0,0,0,0,0,0,0
P2rx1,2,0,0,0,0,0,0,0
Magef1,50,30,22,27,18,34,43,56
Crebrf,1316,1039,699,795,1158,1124,1760,1569
Olfr1278,0,0,0,0,0,0,0,0
Gm10985,0,0,0,0,0,0,0,1
Gm49720,0,0,0,0,0,0,0,0
Zfp69,34,20,19,30,22,35,24,28
Bod1l,4439,3227,3135,2526,2645,3049,2341,1898
Gm13798,0,0,0,0,0,0,0,0
4930593C16Rik,0,0,0,0,0,0,0,0
Gm11528,0,0,0,0,0,0,0,0
Grn,25217,18644,16438,17380,15756,16107,17227,19315
Gm38373,0,0,0,0,0,0,0,0
Gm9560,0,0,0,0,0,0,0,0
Nudt16l2,0,0,0,0,0,0,0,0
Gm49549,0,0,0,0,0,4,0,0
Gm21832,0,0,0,0,0,0,0,0
Kcnb2,0,0,0,0,0,0,0,0
Cyp2c55,0,0,2,0,0,0,0,0
Olfr930,0,0,0,0,0,0,0,0
Gm12164,5,15,4,6,12,2,7,15
Gm26632,0,0,2,0,0,0,0,0
Cyp2b26-ps,0,0,0,0,0,0,0,0
Gm44864,0,0,0,0,0,0,0,0
Plekha6,185,132,66,100,111,141,297,307
Gstm7,95,93,52,64,86,76,136,124
Gm31282,0,0,0,2,2,1,2,2
Gm46223,2,0,0,0,0,0,0,0
Dgkk,2,4,0,6,12,4,2,0
Bcl2a1c,0,0,0,0,0,0,0,0
Nrp2,11271,7976,7532,7728,8464,8354,8939,7374
Gm19667,2,0,2,0,0,2,0,2
Gm46424,0,0,0,0,0,2,0,0
Olfr1127-ps1,0,0,0,0,0,0,0,0
Mir93,0,0,0,0,0,0,0,0
Gm8839,0,0,0,2,0,0,0,0
Gm45126,0,0,0,0,0,0,0,0
4930488N24Rik,0,0,0,0,0,0,0,0
Gm9165,13,24,10,11,4,12,8,10
Vmn2r15,0,0,0,0,0,0,0,0
1700029J03Rik,0,0,0,0,0,0,0,0
Sar1a,13681,9790,9743,10774,9723,9651,9961,10243
Tmem204,351,243,187,207,337,288,471,489
Gm6430,30,23,23,39,31,23,5,12
Gm9742,12,4,2,5,3,4,7,6
Gm36933,0,0,0,0,0,0,0,0
Gm50228,0,0,0,0,0,0,0,0
Gm12417,0,0,0,0,0,0,0,0
Gm38825,0,0,0,0,0,0,0,0
Tha1,35,29,17,26,29,26,26,44
Gm24666,0,0,0,0,0,0,0,0
Mrm1,380,311,268,293,265,310,288,326
Gm38331,1,0,1,4,0,2,2,2
Sort1,773,608,419,388,692,720,1473,1357
Gm11007,21,6,1,7,7,14,10,3
Gm43097,4,0,4,0,0,4,0,0
Kdm5a,3306,2193,2080,2219,2579,2791,2787,2388
Elf4,2541,1815,1675,1571,1911,2119,1910,1801
Pla2g4d,0,0,0,0,0,0,0,0
Gm45791,0,0,0,0,0,0,0,0
Gas8,1429,1041,934,1022,1059,1017,769,819
D14Ertd670e,0,0,0,0,0,0,0,2
Vmn2r32,0,0,0,0,0,0,0,0
Krtap31-2,0,0,0,0,0,0,0,0
Nsun3,600,516,455,490,463,454,800,652
Dctn4,4751,3330,3112,3381,3517,3570,4020,3933
Uncx,0,0,0,0,0,0,0,0
Gm29656,0,0,0,0,0,0,0,0
Gm26061,0,0,0,0,0,0,0,0
Gm44667,3,2,0,0,4,0,14,12
Gm38364,0,0,0,4,0,2,2,0
Gm37541,0,2,0,2,0,0,0,0
Gm49132,0,0,0,0,0,1,0,0
Gm21742,4,3,0,0,1,3,4,8
D830039M14Rik,4,0,2,5,6,6,0,2
2610318N02Rik,42,28,27,55,44,35,2,2
Trav16,2,0,0,0,0,0,0,0
4930453O03Rik,0,0,0,0,0,0,0,0
Gm8296,0,0,0,0,0,0,0,0
1700022A22Rik,0,0,0,0,0,0,0,0
Gm37222,0,0,0,0,0,0,0,0
Gm18861,0,0,0,0,0,0,0,0
9530022L04Rik,0,0,0,0,0,0,0,0
Zfp746,1311,924,933,941,971,1014,949,1049
Gm6439,19,13,30,10,19,17,30,4
Gm14168,8,9,2,0,8,7,6,6
Btf3-ps18,4,6,8,2,10,10,10,8
Gm47923,0,0,0,0,0,0,0,0
Abhd17b,841,634,638,618,571,664,606,608
Fmnl3,5068,3594,2901,2953,3896,3741,2469,2743
Gm25407,0,0,0,0,0,0,0,0
Gm24355,0,0,0,0,0,0,0,0
Gm11447,0,0,0,0,0,0,0,0
Prl7b1,0,0,0,0,0,0,0,0
Lrrc46,31,30,18,18,22,22,44,60
1700095B10Rik,0,0,0,0,0,0,0,0
Actl7b,0,0,0,0,0,0,0,0
Skint7,0,0,0,0,0,0,0,0
Defa33,0,0,0,0,0,0,0,0
Gm47759,0,0,0,0,0,0,0,0
Gm12870,28,39,25,22,25,32,16,3
Gm12929,12,12,15,5,12,8,14,11
Gm22939,0,0,0,0,0,0,0,0
Ccl27a,44,21,28,25,39,32,45,71
Mir127,0,0,0,0,0,0,0,0
Gm6162,9,17,7,10,4,2,6,4
Gm49926,2,4,7,0,2,4,0,0
Gm27160,0,0,0,0,0,0,0,0
Gm14876,0,0,0,0,0,0,0,0
Olfr1300-ps1,0,0,0,0,0,0,0,0
Apc-ps1,0,0,0,2,0,3,0,2
Olfr984,0,0,0,0,0,0,0,0
Gm25337,0,0,0,0,0,0,0,0
Gm25091,0,0,0,0,0,0,0,0
Gm6740,0,0,0,0,0,0,0,0
Gm10045,0,0,0,0,0,0,0,0
Gm38325,0,0,0,0,0,0,0,0
Tfap2a,155,149,120,135,81,100,277,243
Gm20694,0,0,0,0,0,0,0,0
Gm26611,0,0,0,0,0,0,0,0
Sec61a1,13610,9809,10734,11143,9305,9157,7854,7832
Klc3,109,86,83,110,102,129,44,57
Gm17631,0,0,0,0,0,0,0,0
Gm17330,0,0,0,0,2,3,4,0
Upk3b,2,0,0,0,0,0,0,0
4930570N18Rik,0,0,0,0,0,0,0,0
Pak3,1620,1063,959,1185,1108,1245,1474,1211
Prr30,0,0,0,0,0,4,0,0
Gm15007,0,0,0,0,0,0,0,0
Gm26244,0,0,0,0,0,0,0,0
Tbx3os1,2,0,7,4,0,4,7,0
Gm50239,0,0,0,0,0,0,0,0
Gm14735,0,0,0,0,0,0,0,0
Gm50448,0,0,0,0,0,0,0,0
Cyp2d13,0,0,0,0,0,0,0,0
Vmn1r-ps9,0,0,0,0,0,0,0,0
Rft1,1150,871,788,873,843,826,1150,1075
Gm31305,2,0,3,0,0,0,0,0
Gm11681,0,0,0,0,0,0,0,0
BE692007,0,0,0,0,0,0,0,0
1700025F24Rik,0,0,0,0,0,0,0,0
Gm18070,0,0,0,0,0,0,0,0
Mir124a-3,0,0,0,0,0,0,0,0
Clec9a,0,0,0,0,0,0,0,0
Cd81,17437,12736,10359,11201,12972,12944,17294,17506
Gm37285,8,8,0,0,18,8,8,8
Spn,11,8,10,14,40,31,2,0
Sbf1,4829,3296,3421,3302,3547,3486,2905,3121
5530400C23Rik,0,0,0,0,0,0,0,0
Polr2d-ps1,0,0,0,0,0,0,0,0
Siglec15,0,0,0,0,0,0,0,0
Gm22444,0,0,0,0,0,0,0,0
Dop1b,1914,1298,1451,1356,1389,1445,1227,1370
Gm13356,0,0,0,0,0,0,0,0
Cdc42,24328,17273,15634,17854,17140,17412,16021,16250
Rnf212,0,0,0,0,0,0,2,0
Glt8d2,226,223,148,153,293,263,383,313
Slc4a2,7165,5114,6210,5871,4567,4490,3379,3581
Gm36211,30,20,16,26,23,41,26,15
Gm3434,0,0,0,0,0,0,0,0
Telo2,783,549,575,556,634,614,498,691
2610016A17Rik,0,0,0,0,0,0,0,0
Cenph,508,321,341,300,316,283,89,113
Ctu1,429,307,281,284,286,299,322,255
Tex22,0,0,0,0,0,0,2,0
Gm47190,0,0,0,0,0,0,0,0
Gm14342,0,0,0,0,0,0,0,0
Ccni,12537,9269,7552,8311,9906,10172,11195,11447
Gm28289,0,0,0,0,0,0,0,0
Gm4889,1,0,2,0,0,0,0,0
Gm15242,0,0,0,0,0,0,0,0
Egr3,163,154,250,195,163,196,283,201
Itih3,10,10,6,10,9,6,4,8
Mrtfa,3322,2408,2845,2797,2512,2432,2137,2473
Unc93a2,6,8,0,0,0,0,0,0
Gm29582,0,0,0,0,0,0,0,0
Gm28564,0,0,0,0,0,0,0,0
Gm13387,0,0,0,0,0,0,0,0
Nr2e3,0,0,0,0,0,0,0,0
Gm42638,0,0,0,0,0,0,0,0
Eri3,3197,2422,2283,2214,2514,2372,2350,2556
Itgae,0,6,0,6,2,2,4,8
Gm45164,0,2,0,0,0,0,0,0
2810442N19Rik,10,14,10,8,8,6,8,10
Gm7253,14,11,1,7,9,2,4,0
Mir665,0,0,0,0,0,0,0,0
Gm14132,2,0,3,0,0,2,2,4
Angptl4,949,647,306,367,530,498,1404,1735
Gm8502,0,0,0,0,0,0,0,0
Gm35843,0,0,0,0,0,0,0,0
I0C0044D17Rik,0,0,0,0,0,0,0,0
Gm22304,0,0,2,0,0,1,0,0
Gm8888,0,0,0,0,0,0,0,0
Eif4e1b,0,0,0,0,0,0,0,0
Gm34121,9,2,7,10,3,2,2,6
Garem2,505,382,393,389,462,416,198,172
Fam241b,78,64,25,35,53,39,34,81
Zfp111,773,509,521,525,533,636,750,681
Gm15812,0,0,0,0,0,0,0,0
Gm28367,0,0,0,0,0,0,0,0
Olfr1498-ps1,0,0,0,0,0,0,0,0
Gm5298,0,4,9,0,6,2,6,2
Gm13583,2,2,2,0,1,3,2,0
4930433J02Rik,0,0,0,0,0,0,0,0
Gstt4,0,0,0,0,0,0,0,0
Gm47082,0,0,0,0,0,0,2,0
Gm13282,0,0,0,0,0,0,0,0
Sptlc1,2319,1621,1536,1734,1547,1571,1518,1457
Gm14806,0,0,0,0,0,0,0,0
Gm27007,0,0,0,0,0,0,0,0
Gm30313,0,0,0,0,0,0,0,0
Gm28262,0,0,0,0,0,0,0,0
4930562C15Rik,0,2,0,0,2,2,1,2
Lig3,1496,1007,1310,1246,1105,1214,882,936
Gm17831,0,0,0,0,0,0,0,0
4930513D17Rik,0,0,0,0,2,0,0,0
Nr5a2,0,0,0,0,0,0,2,0
Cog3,1741,1423,1293,1351,1165,1298,1204,1414
Cd200,163,124,115,150,120,126,103,131
Gm38432,2,0,0,0,0,0,0,0
Fam178b,9,12,2,6,8,2,11,9
Romo1,1626,1186,1027,1034,1131,1054,773,1082
Tspyl-ps,0,0,0,0,0,0,0,0
Vmn1r238,0,0,0,0,0,0,0,0
Olfr193,0,0,0,0,0,0,0,0
Mir3473c,0,2,0,0,0,0,0,0
Pa2g4,7889,5494,5663,5546,5290,5390,2879,2683
Spaca6,138,88,133,110,175,165,246,406
Gm49032,0,0,0,0,0,0,0,0
Gm47547,39,36,40,44,24,26,2,4
9630013K17Rik,0,0,6,0,2,0,0,0
Fam124b,0,0,0,0,0,0,0,0
Odam,0,0,0,0,0,0,0,0
Gm15587,0,0,0,0,0,0,0,0
Zmpste24,5786,4147,3992,4470,4164,4381,3081,2815
Umpk-ps,0,0,0,0,0,0,0,0
Gm49980,55,51,48,53,71,62,65,78
Gm26008,0,0,0,0,0,0,0,0
Olfr683,0,0,0,0,0,0,0,0
Gm14294,0,0,0,0,0,0,0,0
Fam3d,0,2,0,0,0,0,0,0
Fnip1,3377,2346,2055,2259,2454,2623,1862,1877
Tut1,1337,905,1005,903,850,791,831,832
Igkv10-95,0,0,0,0,0,0,0,0
Gm8185,0,2,7,3,0,2,3,0
Gm19696,0,0,0,0,0,4,0,0
Gm24774,0,0,0,0,0,0,0,0
Slc7a3,114,90,152,128,108,115,34,23
Gm29360,0,0,0,0,0,0,0,0
Odf1,0,0,0,0,2,0,0,0
Gm12746,0,0,0,0,0,0,0,0
Gm48244,0,0,0,0,0,0,0,0
4930425K10Rik,0,0,0,0,0,0,0,0
Gm13707,0,3,0,0,0,0,0,0
Gm44995,0,0,0,0,0,0,0,0
Pik3r5,61,40,44,38,17,40,16,9
Nt5dc2,1609,1230,1064,1048,1461,1327,1940,2135
Gm26081,0,0,0,0,0,0,0,0
Cdc42ep5,543,418,300,310,451,500,630,732
Aste1,200,167,207,144,112,162,51,70
Gm15619,0,0,0,0,0,0,0,0
Olfr306-ps1,0,0,0,0,0,0,0,0
Speer4f2,0,0,0,0,0,0,0,0
Gm9255,5,0,0,0,2,0,0,0
Rer1,8268,5909,5315,5826,5445,5755,4949,4770
Krtap27-1,0,0,0,0,0,0,0,0
Smyd1,8,2,4,0,4,8,6,4
Gm37581,4,0,5,4,2,0,10,4
Klk1b16,0,0,0,0,0,0,0,0
Gm13622,0,0,0,0,0,1,1,7
Gm7172,90,84,59,77,54,67,29,36
2310057N15Rik,0,0,0,0,0,0,0,0
Gm49248,0,0,0,0,0,0,0,0
Gm21284,4,4,4,2,4,2,12,14
Gm28174,0,0,0,0,0,0,0,0
Gm47249,0,0,0,0,0,0,0,0
Gm4066,0,0,0,0,0,0,0,3
Slc17a9,48,56,111,56,58,40,10,14
Gm20737,0,0,0,0,0,0,0,0
Parvg,4,0,2,1,4,6,0,0
Mir6395,0,0,0,0,0,1,2,0
Me3,176,102,111,86,117,98,124,154
Nutm1,2,0,2,0,2,2,0,2
Gm50036,0,0,0,0,0,0,0,0
Vmn1r-ps26,0,0,0,0,0,0,0,0
Rhno1,832,513,686,557,612,545,574,568
Gm15583,0,0,0,0,1,2,0,0
Gm7233,0,0,0,0,0,0,0,0
Gm29424,0,0,0,0,0,0,0,0
Gm15026,0,0,0,0,0,0,0,0
Gm28293,0,0,0,0,0,0,0,0
Gm9750,2,0,0,2,2,0,0,2
Gm7761,0,0,0,0,0,0,0,0
Dok7,2,2,2,2,2,0,0,0
9130015G15Rik,2,0,0,0,0,2,0,0
4932411K12Rik,0,0,0,0,0,0,0,4
Gm24775,0,0,0,0,0,0,0,0
Gm6882,0,0,0,0,0,0,0,0
Cdk14,2495,1714,1547,1799,1951,2023,2894,2826
Gm45264,0,0,0,0,0,0,0,0
Gm38358,2,0,0,0,0,0,0,0
Prkag2os1,0,0,0,0,0,0,0,0
Gm38569,0,0,0,0,0,0,0,0
Olfr310,0,0,0,0,0,0,0,0
Gm34006,2,2,0,6,2,3,11,2
Skiv2l,2182,1676,1656,1648,1610,1614,1707,1965
Poglut3,3632,2571,2120,2234,2461,2588,2372,2462
Tpm2,51888,34401,34514,35250,29880,29208,10662,11572
Tmem273,0,0,0,0,0,0,0,0
Fzd1,3545,2697,3113,3007,3409,3222,5480,4958
Hspbp1,873,624,699,638,615,573,432,586
Gm28083,0,0,0,0,0,0,0,0
Gm18398,0,0,0,0,0,0,0,0
Gm28110,0,0,0,0,0,0,0,0
Gm11353,1392,1063,879,954,866,913,713,919
Olfr1225,0,0,0,0,0,0,0,0
Ckb-ps2,0,0,0,0,0,0,2,0
Ifngas1,0,0,0,0,0,0,0,0
Gm49075,0,0,0,0,0,0,0,0
Olfr1028,0,0,0,0,0,0,0,0
Gm42825,0,0,0,0,0,0,0,0
4933416M07Rik,0,0,0,0,0,0,0,0
Naip6,4,0,0,12,0,4,2,3
Gm17030,2,0,0,0,0,0,0,0
Gt(ROSA)26Sor,88,76,52,57,53,53,36,58
Gm24730,0,0,0,0,0,0,0,0
Gm49277,0,0,0,0,0,0,0,0
Apoc1,2,0,0,0,0,0,0,2
Yeats2,2071,1315,1380,1295,1418,1572,1425,1447
Gm8447,0,0,0,0,0,0,0,0
Rps7-ps2,22,10,4,3,0,6,6,6
Gm31747,0,0,0,0,0,0,0,0
Gm6653,0,2,4,0,0,2,0,0
Mir218-2,0,0,0,0,0,0,0,0
Snx7,5735,3741,5016,4998,4011,4135,2745,2975
Ccnc,1346,906,826,971,901,957,620,644
Gm32548,0,0,0,0,0,0,0,0
Gm5796,0,0,2,2,0,0,2,1
Gm43712,334,267,190,239,186,255,103,179
Pramel19,0,0,0,0,0,0,0,0
Scd1,8733,6505,6189,6333,6009,6358,3393,2741
Gm29572,0,0,0,0,0,0,0,0
Gm13059,0,0,0,0,0,0,0,0
Gnb1l,114,86,82,88,80,70,69,71
Gm29579,0,0,0,0,0,0,0,0
Gm24123,0,0,0,0,0,0,0,0
Gm22082,0,0,0,0,0,0,0,0
Sepsecs,720,528,491,523,507,535,654,665
Gm46499,0,0,0,0,0,0,0,0
2900002M20Rik,0,0,0,0,0,0,0,0
Gm13446,26,6,13,22,22,22,15,23
Pnma3,0,0,0,0,0,0,0,0
A730049N16Rik,0,0,0,0,0,0,0,0
Gm21878,0,0,0,0,0,0,0,0
Gm7684,7,10,3,8,2,7,4,3
Kif9,119,82,62,71,96,93,160,191
Gm50106,0,0,0,0,0,0,0,0
Med13,4011,2910,2538,2499,3017,3278,4059,3235
Zscan4c,0,0,0,0,0,0,0,0
Gm13260,0,0,0,0,0,0,0,0
Kif16bos,0,0,0,0,0,0,0,0
Kap,0,0,0,0,0,0,0,0
Olfr703,0,0,0,0,0,0,0,0
Gm42917,0,0,0,0,2,0,2,0
Gm9984,0,0,0,0,0,0,0,0
Tvp23bos,8,4,8,12,10,0,0,3
Gm50412,0,0,0,0,0,0,0,0
Dock2,6,4,0,0,4,12,0,4
Bcas3os2,0,0,0,0,0,0,0,0
Gm14579,0,0,0,0,0,0,0,0
Selenow,8272,5724,4864,5850,5923,5835,7544,7947
Gm15303,1,0,0,0,0,0,0,0
Prom2,0,0,0,0,0,0,0,0
Olfr1030,0,0,0,0,0,0,0,0
Ank1,203,135,179,177,209,193,103,80
Gm49171,0,0,0,0,0,0,0,0
Gm49739,14,10,12,24,6,10,6,6
Gm41414,0,4,0,0,0,0,4,2
Mir7069,0,0,0,0,0,0,0,0
Tlr12,0,0,0,0,0,0,0,0
Gm31645,2,4,8,6,5,4,4,5
C86187,0,0,0,0,0,4,0,0
Gm47835,0,0,0,0,0,2,0,0
Mars2,681,426,463,458,433,442,318,281
Ambp,0,0,0,0,0,0,0,0
Gm16443,0,0,0,0,0,0,0,0
Gm6260,0,0,0,0,0,0,0,0
Gm17186,0,0,0,0,0,0,0,0
Scn2b,0,0,0,0,0,0,0,0
Gm17077,0,0,0,0,0,0,0,0
Olfr492,0,0,0,0,0,0,0,0
9430021M05Rik,0,0,0,0,0,0,0,0
Gm24449,0,0,0,0,0,0,0,0
Olfr1195,0,0,0,0,0,0,0,0
Gm19972,0,0,4,0,0,0,0,0
Ttll9,4,0,6,4,5,4,0,4
4930596D02Rik,0,0,0,0,0,0,0,0
Gm12129,8,6,3,9,7,0,2,0
Gm13901,0,0,0,0,0,0,0,0
Vmn2r-ps24,0,0,0,0,0,0,4,0
Ranbp2-ps8,0,0,0,0,0,0,0,0
Gm28418,0,0,0,0,0,0,0,0
Ryk-ps1,0,0,0,0,0,0,0,0
Rpl7,39075,26500,23920,26791,26347,26770,26498,27739
Gm7335,51,34,41,42,52,47,47,37
Cts6,0,0,0,0,0,0,0,0
Olfr1235-ps1,0,0,0,0,0,0,0,0
Gm44105,0,0,0,0,0,0,0,0
Gm43500,0,0,0,0,0,0,0,0
Gm48346,0,0,0,0,0,0,0,0
Gm9035,0,0,0,0,0,0,0,0
Gad1,0,0,0,0,0,0,0,0
Gm48007,0,0,0,0,0,0,0,0
Gm18802,0,0,0,0,0,0,0,0
Gm15378,1,4,0,4,0,0,3,4
Copb1,12182,8523,8506,9031,8267,8778,8152,7811
Gm38099,2,0,0,0,0,0,2,0
Gm11105,0,0,0,0,0,0,0,0
Eef1b2,29904,20483,19196,21435,19993,20347,17769,18634
Abhd10,344,275,263,261,229,287,288,260
Gm28724,0,0,0,0,0,0,0,0
Mmp13,65,38,24,16,14,10,343,412
Qser1,3250,2274,2298,2169,2388,2636,2405,2050
Gm29575,0,0,0,0,0,0,0,0
Tra2b,4703,3171,3440,3598,3270,3261,2559,2423
Gm7950,0,0,0,0,0,0,0,0
Pde7a,927,632,575,532,704,831,778,826
Gm8153,0,0,0,0,0,0,0,3
Gm13134,0,0,0,0,0,0,0,0
Gm7447,0,0,0,0,0,0,0,0
Gm3424,0,0,0,0,0,0,0,0
Rps11-ps3,32,33,12,19,9,18,21,48
Gm37298,0,0,0,0,0,1,0,2
Gm47700,0,0,0,0,0,0,0,0
Gm30312,0,0,0,0,0,0,0,0
Olfr528-ps1,0,0,0,0,0,0,0,0
E230032D23Rik,1,2,2,2,2,2,2,4
Ranbp2-ps12,0,0,0,0,0,0,0,0
Gm16397,2,7,2,2,4,0,2,2
Agpat4,1418,943,1067,1055,1015,1032,808,869
Gm22459,0,0,0,0,0,0,0,0
Gprc6a,0,2,0,0,0,2,0,0
Mlxip,3285,2318,2289,2328,2591,2405,2722,2539
Gm5521,159,114,82,105,74,83,50,106
Pabpc1l,12,11,6,4,10,2,6,10
Cabcoco1,0,0,0,0,2,0,0,0
Gm28838,0,0,0,0,0,0,0,0
Olfr560,0,0,0,0,0,0,0,0
Gm47650,0,0,0,0,0,2,0,0
Olfr958,0,0,0,0,0,0,0,0
Fbxo5,985,688,736,728,477,563,168,134
Abcc12,2,0,2,0,0,0,2,0
Gm32376,4,0,2,2,0,0,0,4
Gm11199,2,0,0,0,0,0,0,0
Ces1e,0,0,0,0,0,0,0,0
Gm8038,0,0,0,0,0,0,0,0
Gm26866,0,0,0,0,0,0,0,0
H1f3,108,85,108,90,121,73,82,111
Gm25309,0,0,0,0,0,0,0,0
Gm11805,10,4,0,3,6,6,2,2
4930554G22Rik,0,0,2,0,0,0,0,0
4833411C07Rik,0,0,0,0,0,2,0,0
Gm16412,3,0,0,0,0,1,0,1
Kdelr2,13541,9731,10347,10761,9245,9419,9653,9564
Gm5442,0,0,0,0,0,0,0,0
Cbwd1,713,527,560,522,496,507,472,441
Alpk3,4,2,0,0,2,2,2,2
Gm13889,338,324,225,248,172,193,277,246
Gm12695,2,4,0,4,6,2,110,118
Eri2,435,323,331,367,345,364,245,232
Gm30008,0,0,0,0,0,0,0,0
Prl8a9,0,0,0,0,0,0,0,0
Gm47870,8,2,0,4,3,6,9,12
Palm,5077,3690,2799,3061,3830,3465,3547,3905
Gm15670,0,0,0,0,0,0,0,0
Nudcd3,2375,1716,1518,1620,1794,1830,2002,1854
Gm22506,0,0,0,0,0,0,0,0
Flnc,19643,13792,14675,14022,14151,15292,11442,10313
Gm23239,0,0,0,0,0,0,0,0
Hectd2,197,156,148,160,153,145,121,91
Olfr655,0,0,0,0,0,0,0,0
Vmn1r50,0,0,0,0,0,0,0,0
4933430L12Rik,0,2,0,0,0,0,0,0
Cpt2,1679,1276,881,906,1366,1326,2768,3197
Gm38295,0,0,0,0,0,0,0,0
